	amir_1_mix_1	amir_1_mix_5	amir_1_mix_8	amir_1_mix_11	amir_1_mix_14	amir_1_mix_17	amir_1_mix_21
WBGene00004928	20.2627496448667	15.6779049144327	26.7045063410325	24.4624162011139	21.4017723606976	29.5299163351468	31.3632795241417
WBGene00004929	425.517742542201	480.313996014892	395.4810224791	501.479532122836	423.495677319259	465.664065285008	376.3593542897
WBGene00004930	6688.05823278234	6751.47596178796	6802.0192580087	6355.3357290494	6753.23198763467	6088.8415951047	6814.79259374565
WBGene00004931	694.336887830767	736.861530978335	676.51416063949	717.971915502695	693.93625533171	586.055262651376	751.822614878711
WBGene00004932	5.40339990529779	7.83895245721633	8.9015021136775	22.0161745810026	7.13392412023254	10.2218941160124	6.27265590482834
WBGene00004933	872.649084705594	784.607877763198	998.239879890976	677.608928770856	710.14971924133	805.258103139196	590.525748754554
WBGene00004945	732.160687167851	969.89220857013	700.675380662329	785.243560055758	552.554850039829	639.436265257218	780.497613300784
WBGene00004946	209.38174633029	239.444365965881	199.647975978195	143.105134776517	196.507182584587	211.252478397589	193.556239348989
WBGene00004947	91.8577983900625	79.1021566137284	86.4717348185814	106.411510474846	73.2848568714797	63.6028967218547	86.0249952662172
WBGene00004949	459.288991950313	612.150923704439	495.940832047746	397.514263268102	365.127207244629	713.261056095085	254.490610995893
WBGene00004950	20.2627496448667	3.5631602078256	2.54328631819357	4.89248324022279	7.13392412023254	12.4934261417929	8.96093700689763
WBGene00004951	1354.90252625342	1427.40197925494	1350.48503496079	1546.0247039104	1472.18252299344	2026.20656699623	1184.63587231187
WBGene00004952	297.186994791379	376.982349987949	309.009287660519	292.325873603312	400.796827845792	336.186739815518	535.864033012478
WBGene00004953	690.284337901793	598.610914914702	568.424492116263	451.331578910552	657.618096174163	530.402728019753	722.251522755949
WBGene00004954	8.10509985794669	6.41368837408609	7.62985895458071	6.11560405027849	3.24269278192388	1.13576601289026	11.6492181089669
WBGene00004955	194.522396590721	210.939084303276	214.907693887357	166.344430167575	204.289645261204	187.401392126893	242.841392886926
WBGene00004959	10.8067998105956	28.5052816626048	7.62985895458071	15.9005705307241	25.2930036990063	17.0364901933539	25.9867173200031
WBGene00004960	9.45594983427114	4.27579224939073	2.54328631819357	4.89248324022279	3.24269278192388	2.27153202578053	5.37656220413858
WBGene00004969	5.40339990529779	1.42526408313024	5.08657263638714	1.2231208100557	5.18830845107821	4.54306405156105	3.58437480275905
WBGene00004975	402.553292944686	375.557085904819	366.233229819874	349.81255167593	533.098693348286	350.951697983091	794.83511251182
WBGene00004976	4.05254992897335	0.712632041565121	11.4447884318711	11.0080872905013	12.9707711276955	7.95036209023184	6.27265590482834
