	amir_1_mix_1	amir_1_mix_5	amir_1_mix_7	amir_1_mix_8	amir_1_mix_10
WBGene00004475	1686.00625735173	1550.96616953857	1680.52898012253	1503.57658928117	1937.07666215499
WBGene00004476	4255.33866298713	3711.28794210493	3854.69993397198	3330.61764575995	4715.72283489129
WBGene00004477	2179.96324754745	2055.32920410574	2270.75307914385	2022.54155863117	2532.95921322019
WBGene00004478	1951.88616789075	1752.31267740926	1940.22758369191	1773.72273770994	2016.83324975911
WBGene00004479	3839.50752328154	3355.11062125117	3680.85210844206	3449.10279857958	4239.93353642539
WBGene00004480	2361.41683578261	2100.51587913942	2248.21724990849	2077.04472892821	2583.38004446416
WBGene00004481	5025.25631862383	4482.78396731242	4485.70315256205	4505.99036173073	5242.84970698742
WBGene00004482	1321.83898651865	1038.62901584781	1334.97959851368	1268.97598669829	1508.04122538806
WBGene00004483	2947.36071445866	2089.88372030797	2701.08010406667	2434.8698904435	3668.80302978906
WBGene00004484	15931.3730281748	15304.3281279532	14248.0097503747	14711.1165740859	15697.3798798296
WBGene00004485	7149.77541421053	7879.75871396245	7002.20408384386	6997.73312552765	5851.56665146017
WBGene00004486	2706.68269117452	2735.78736931889	2369.48147388923	2811.65267640994	2402.7817943721
WBGene00004487	1209.69058823442	1139.63452474663	1256.64076355267	1193.14548889373	1325.60949052348
WBGene00004488	2817.57099509601	2962.38525441429	2706.44577769413	2825.8708947483	2903.32313726686
WBGene00004489	6764.18653921081	7090.32092072688	7228.63551092295	7357.92799009935	6705.97055544902
WBGene00004490	3981.89818627164	3737.86833918357	3977.03729267822	4156.4591609128	4296.77156437315
WBGene00004491	3597.56940563466	3374.38140913319	3459.78635499044	3062.84120038757	4089.58778507971
WBGene00004492	3665.61450122285	3497.98025554885	3674.4133000891	3364.97834007764	3694.47181660418
WBGene00004493	1964.48711151819	1723.73875054972	1794.28126102482	1886.28363288859	1925.15901113369
WBGene00004494	6859.95371077937	6918.87735956966	6756.45623170589	7184.93966698268	5673.71862852686
WBGene00004495	4356.14621200666	4359.84963082372	3985.62237048216	3875.64934873027	4940.32471952355
WBGene00004496	3558.50648038959	3755.81010721165	3604.65954293204	3543.89092083529	4010.74793986186
WBGene00004497	797.639731617072	847.914666808575	894.994361061422	767.783790271236	976.330641360658
WBGene00004498	2503.8074987727	2379.61004846513	1994.95745469207	2221.59661536816	2354.19444790063
WBGene00004499	4193.59403921266	5052.93348464922	4659.55097809196	4494.14184644876	4681.80336659989
WBGene00004501	1790.59408945949	1508.43753421275	1501.31548096514	1226.32133168322	1893.98977000105
WBGene00004502	3167.87722793889	3572.40536736904	3520.95503434356	3484.64834442547	3630.29984956639
WBGene00004503	344.005761029164	310.326135893107	370.231480295193	270.146148428768	330.944001437744
WBGene00004504	850.563694852328	784.786223746808	813.436121923931	674.180519543724	848.903449671332
WBGene00004505	5381.86302328043	5799.178132632	5314.16316064288	5310.50454937605	5980.827327922
WBGene00004506	3261.12421078196	3058.07468389738	2957.55930345957	2674.20989913917	3175.59562598434
WBGene00004507	7.56056617646514	17.2772581011152	8.5850778039465	14.2182183383562	8.25068147628725
WBGene00004508	245.718400735117	324.945354286358	285.453836981221	277.255257597946	296.107790760087
WBGene00004509	3.78028308823257	4.65156948876178	11.8044819804264	10.6636637537672	4.58371193127069
WBGene00004510	88.2066053920933	114.960217365112	108.386607274825	99.5275283684936	131.094161234342
WBGene00004679	1195.82955024424	1140.96354460057	1228.73926068984	1088.87855441245	1155.09540668021
WBGene00004680	366.687459558559	396.047916471717	356.28072886378	391.001004304796	430.868921539445
WBGene00004681	1663.32455882233	1906.47898046536	1952.03206567233	1784.38640146371	1792.23136512684
WBGene00004682	874.505487744467	928.984877898423	1006.60037251273	877.974982393497	816.817466152438
WBGene00004684	2438.28259191001	2463.33829926284	2309.38592926161	2190.79047563505	2443.11845936728
WBGene00004698	1660.80437009684	1681.87462515086	1676.23644122055	1508.31599539396	1469.53804516538
WBGene00004699	1513.37332965577	1526.37930224083	1538.87519635741	1421.82183383562	1559.37879901829
WBGene00004700	10074.4544301398	11121.9026476294	10891.2443290316	10782.1489065868	9920.06936165603
WBGene00004701	2646.1981617628	2712.52952187508	2652.78904141947	2508.33068519168	2468.7872461824
WBGene00004702	434.732555146745	420.634783769458	493.641973726924	364.934270684476	453.787481195799
WBGene00004703	1367.20238357745	1700.48090310591	1492.7304031612	1290.30331420583	1333.86017199977
WBGene00004704	1779.2532401948	1376.86456867349	1583.94685482813	1364.9489604822	1749.1444729729
WBGene00004705	5630.10161274104	5403.13021616029	6135.11122564527	5077.08879832137	5282.26962959635
WBGene00004706	1352.08125122452	1546.31460004981	1546.38713943586	1456.18252815332	1387.94797278877
WBGene00004721	98.2873602940468	106.986098241521	87.9970474904516	68.7213886353884	99.008177715447
WBGene00004723	1703.64757843014	1716.4291413531	1663.35882451463	1502.39173775297	1557.54531424578
WBGene00004726	1515.89351838126	1311.74259583082	1257.71389827816	1289.11846267763	1463.12084846161
WBGene00004727	531.759821078048	467.814988584041	501.153916805377	422.991995566098	412.534073814362
WBGene00004728	88.2066053920933	57.1478537190732	70.8268918825586	62.7971309944067	65.0887094240438
WBGene00004729	205.395381127303	197.359448308892	216.773214549649	195.500502152398	179.681507705811
