"","N2.up","N2.dn","AM.up","AM.dn","INTERSECT.up","INTERSECT.dn","INTERSECT.reg","N2.only.up","AM.only.up","N2.only.dn","AM.only.dn","UNION.up","UNION.dn","UNION.reg"
"78","WBGene00004481","WBGene00000175","WBGene00009983","WBGene00017105","WBGene00004444","WBGene00011038","WBGene00004444","WBGene00002039","WBGene00022592","WBGene00010687","WBGene00002207","WBGene00009983","WBGene00017105","WBGene00009983"
"79","WBGene00003754","WBGene00012299","WBGene00000373","WBGene00004786","WBGene00004476","WBGene00004354","WBGene00004476","WBGene00001330","WBGene00021870","WBGene00019938","WBGene00018719","WBGene00000373","WBGene00004786","WBGene00000373"
"80","WBGene00004491","WBGene00001104","WBGene00019662","WBGene00019862","WBGene00004495","WBGene00003587","WBGene00004495","WBGene00000738","WBGene00013567","WBGene00020994","WBGene00002007","WBGene00019662","WBGene00019862","WBGene00019662"
"81","WBGene00004408","WBGene00018013","WBGene00005005","WBGene00017990","WBGene00004426","WBGene00016638","WBGene00004426","WBGene00013200","WBGene00006863","WBGene00018892","WBGene00021100","WBGene00005005","WBGene00017990","WBGene00005005"
"82","WBGene00004421","WBGene00010740","WBGene00016450","WBGene00003053","WBGene00004450","WBGene00003955","WBGene00004450","WBGene00016422","WBGene00019600","WBGene00019381","WBGene00017782","WBGene00016450","WBGene00003053","WBGene00016450"
"83","WBGene00004471","WBGene00006393","WBGene00010065","WBGene00010785","WBGene00004479","WBGene00004259","WBGene00004479","WBGene00003847","WBGene00012910","WBGene00006607","WBGene00007286","WBGene00010065","WBGene00010785","WBGene00010065"
"84","WBGene00012101","WBGene00022642","WBGene00018145","WBGene00004259","WBGene00019327","WBGene00044694","WBGene00019327","WBGene00010904","WBGene00010814","WBGene00002079","WBGene00013698","WBGene00018145","WBGene00004259","WBGene00018145"
"85","WBGene00004427","WBGene00020205","WBGene00022713","WBGene00015569","WBGene00021350","WBGene00004819","WBGene00021350","WBGene00021703","WBGene00015326","WBGene00019628","WBGene00007934","WBGene00022713","WBGene00015569","WBGene00022713"
"86","WBGene00004414","WBGene00001820","WBGene00020472","WBGene00001854","WBGene00009620","WBGene00018164","WBGene00009620","WBGene00044922","WBGene00015794","WBGene00015171","WBGene00003040","WBGene00020472","WBGene00001854","WBGene00020472"
"87","WBGene00004483","WBGene00011038","WBGene00003765","WBGene00016893","WBGene00010901","WBGene00001898","WBGene00010901","WBGene00004122","WBGene00007520","WBGene00022669","WBGene00004736","WBGene00003765","WBGene00016893","WBGene00003765"
