	amir_1_mix_1	amir_1_mix_2	amir_1_mix_3	amir_1_mix_5	amir_1_mix_6	amir_1_mix_7	amir_1_mix_8	amir_1_mix_9	amir_1_mix_10
WBGene00016313	1617.09819715356	1557.87099319498	1972.60682515026	1738.98822942732	1532.70066895269	1843.92085690439	1854.91512407796	1351.53791974014	1865.20044473614
WBGene00016314	7.40090708079434	2.79021670422982	0	3.90564453549089	6.47620000965925	0.788337262464468	1.73681191393068	4.17786064834665	4.02561247065353
WBGene00016315	14.8018141615887	26.0420225728117	0	16.5989892758363	28.7831111540411	33.1101650235077	21.7101489241335	34.4673503488598	20.7989977650432
WBGene00016316	840.002953670158	1252.80730019919	947.370383131373	718.638594530324	967.112534775782	826.177451062763	796.328262537215	1091.46609438056	773.588529777254
WBGene00016317	162.819955777476	133.000329568288	168.709794256272	143.044231112354	169.820355808843	134.01733461896	150.234230555004	141.002796881699	159.011692590814
WBGene00016318	3056.57462436806	3047.84671325371	3030.28745837227	2920.93390698025	2941.633959943	2952.32304792943	2498.40393818928	2744.85444596375	3069.52950887332
WBGene00016319	45.3305558698653	80.9162844226649	25.9553529625034	32.7097729847362	42.4550889522107	35.4751768109011	22.5785548810988	59.5345142389397	23.4827394121456
WBGene00016321	133.216327454298	120.909390516626	142.754441293769	116.192924930854	141.037244654802	137.959020931282	109.419150577633	116.980098153706	145.592984355303
WBGene00016323	214.626305343036	166.482930019046	201.153985459401	221.157121822172	203.640511414841	201.814339190904	233.601202423676	165.025495609693	226.105233768373
WBGene00016325	9.25113385099293	16.7413002253789	12.9776764812517	7.32308350404542	10.7936666827654	6.30669809971574	12.1576833975147	8.35572129669329	8.72216035308265
WBGene00016326	448.679991773157	436.203878094596	564.528926934448	527.26201229127	525.291778561251	491.134114515364	481.965306115763	476.276113911518	534.735523185144
WBGene00016329	3.70045354039717	0.930072234743275	0	1.95282226774545	2.87831111540411	4.73002357478681	2.60521787089602	3.13339548625999	2.01280623532677
